seq,latency_m2m_ns,callback_jitter,publish_jitter
3455,14590000,13963000,302000
3456,14631000,14033000,302000
3457,14602000,13979000,306000
3458,14619000,14016000,306000
3459,14611000,13984000,302000
3460,14619000,14021000,306000
3461,14607000,13979000,302000
3462,14611000,14012000,298000
3463,14606000,13988000,302000
3464,14619000,14021000,298000
3465,14598000,13979000,302000
3466,14627000,14029000,306000
3467,14610000,13975000,310000
3468,14623000,14017000,306000
3469,14623000,13995000,314000
3470,14615000,14000000,302000
3471,14603000,13980000,298000
3472,14615000,14020000,298000
3473,14598000,13980000,298000
3474,14623000,14029000,302000
3475,14594000,13971000,298000
3476,14627000,14033000,306000
3477,14598000,13971000,302000
3478,14619000,14021000,302000
3479,14619000,13995000,314000
3480,14619000,14005000,306000
3481,14623000,13995000,314000
3482,14610000,13988000,294000
3483,14598000,13988000,302000
3484,14639000,14041000,314000
3485,14593000,13959000,298000
3486,14635000,14041000,314000
3487,14598000,13963000,302000
3488,14623000,14025000,302000
3489,14618000,13983000,306000
3490,14623000,14017000,302000
3491,14619000,13983000,302000
3492,14611000,14008000,298000
3493,14610000,13988000,302000
3494,14627000,14025000,302000
3495,14597000,13971000,298000
3496,14615000,14016000,295000
3497,14597000,13980000,294000
3498,14627000,14033000,306000
3499,14607000,13975000,298000
3500,14595000,13996000,286000
3501,14603000,13996000,290000
3502,14611000,14020000,294000
3503,14579000,13960000,282000
3504,14635000,14053000,305000
3505,14601000,13971000,298000
3506,14635000,14037000,310000
3507,14593000,13959000,294000
3508,14627000,14033000,306000
3509,14619000,13987000,310000
3510,14615000,14004000,302000
3511,14599000,13977000,298000
3512,14603000,14007000,294000
3513,14598000,13988000,294000
3514,14623000,14033000,306000
3515,14602000,13975000,302000
3516,14635000,14037000,314000
3517,14602000,13967000,306000
3518,14619000,14016000,302000
3519,14599000,13976000,294000
3520,14615000,14024000,306000
3521,14623000,13988000,306000
3522,14623000,14021000,310000
3523,14602000,13971000,302000
3524,14640000,14042000,318000
3525,14615000,13974000,310000
3526,14627000,14017000,310000
3527,14594000,13963000,302000
3528,14627000,14029000,306000
3529,14599000,13971000,298000
3530,14615000,14020000,298000
3531,14619000,14000000,310000
3532,14615000,14004000,302000
3533,14602000,13980000,306000
3534,14631000,14029000,306000
3535,14586000,13959000,298000
3536,15639000,15045000,306000
3537,14602000,13971000,302000
3538,14623000,14021000,302000
3539,14590000,13963000,290000
3540,14623000,14032000,298000
3541,14619000,13996000,306000
3542,14623000,14013000,306000
3543,14619000,13987000,306000
3544,14611000,14000000,294000
3545,14618000,13992000,306000
3546,14627000,14021000,302000
3547,14602000,13975000,302000
3548,14631000,14029000,306000
3549,14594000,13963000,294000
3550,14623000,14029000,302000
3551,14607000,13979000,298000
3552,14611000,14004000,294000
3553,14611000,13996000,302000
3554,14623000,14021000,302000
3555,14594000,13967000,290000
3556,14627000,14037000,306000
3557,14589000,13959000,286000
3558,14615000,14028000,290000
3559,14614000,13992000,306000
3560,14635000,14029000,298000
3561,14611000,13971000,302000
3562,14619000,14017000,302000
3563,14623000,13995000,310000
3564,14615000,14000000,298000
3565,14623000,14000000,298000
3566,14623000,14013000,306000
3567,14594000,13963000,298000
3568,14631000,14033000,302000
3569,14594000,13967000,294000
3570,14623000,14029000,302000
3571,14607000,13979000,298000
3572,14611000,14012000,298000
3573,14622000,13992000,302000
3574,14619000,14017000,302000
3575,14590000,13963000,290000
3576,14639000,14049000,310000
3577,14594000,13959000,294000
3578,14640000,14046000,314000
3579,14602000,13962000,302000
3580,14631000,14029000,310000
3581,14619000,13983000,306000
3582,14615000,14004000,298000
3583,14599000,13977000,294000
3584,14631000,14036000,310000
3585,14602000,13967000,298000
3586,14627000,14029000,302000
3587,14597000,13971000,298000
3588,14627000,14029000,302000
3589,15602000,14975000,298000
3590,14627000,14029000,310000
3591,14619000,13975000,302000
3592,14623000,14021000,306000
